Date,Venue,City,Extras,Notes
"Thursday, April 21, 1983",Universal Amphitheater,"Universal City, California",Setlist,
"Saturday, April 23, 1983",Jack Murphy Stadium,"San Diego, California",,
"Monday, April 25, 1983",Universal Amphitheater,"Universal City, California",,
"Wednesday, June 1, 1983",Bakersfield Centennial Garden,"Bakersfield, California",,
"Saturday, June 4, 1983",Mountain Aire '83,"Angels Camp, California",,
,Calaveras County Fairgrounds,,,
"Sunday, June 5, 1983",Mountain Aire '83,"Angels Camp, California",,
,Calaveras County Fairgrounds,,,
"Wednesday, June 8, 1983",Red Rocks Amphitheatre,"Denver, Colorado",,
"Friday, June 10, 1983",Irvine Meadows Amphitheatre,"Irvine, California",,
,,,,
"Tuesday, September 13, 1983",Radio City Music Hall,"New York City, New York",,Tom guests with Stevie Nicks
"Thursday, June 6, 1985",Kiel Opera House,"St. Louis, Missouri",,
"Saturday, June 8, 1985",Ohio Center,"Columbus, Ohio",Setlist,
"Sunday, June 9, 1985",Merriweather Post Pavilion,"Columbia, Maryland",,
"Tuesday, June 11, 1985",Worchester Centrum Center,"Worchester, Massachussetts",,
"Friday, June 14, 1985",Mann Music Center,"Philadelphia, Pennsylvania",,
"Saturday, June 15, 1985",Meadowlands Arena,"East Rutherford, New Jersey",Review,
"Sunday, June 16, 1985",Saratoga Performing Arts Center,"Saratoga Springs, New York",Setlist ,
"Tuesday, June 18, 1985",Blossom Music Center,"Cuyahoga Falls, Ohio",,
"Wednesday, June 19, 1985",Indianapolis Music Sports Center,"Indianapolis, Indiana",,
"Friday, June 21, 1985",Pine Knob Music Center,"Clarkson, Michigan",,
"Saturday, June 22, 1985",Poplar Creek Music Theater,"Hoffman Estates, Illinois",Review,
"Sunday, June 23, 1985",Alpine Valley Music Theatre,"East Troy, Wisconsin",Review,
"Tuesday, June 25, 1985",Civic Center,"St. Paul, Minnesota",Setlist,
"Wednesday, June 26, 1985",Kemper Arena,"Kansas City, Missouri",,
"Friday, June 28, 1985",Civic Arena,"Omaha, Nebraska",,
"Saturday, June 29, 1985",Mohawk Park,"Tulsa, Oklahoma",,
"Tuesday, July 2, 1985",Lloyd Noble Center,"Norman, Oklahoma",Setlist,
"Wednesday, July 3, 1985",Frank Erwin Center,"Austin, Texas",,
"Friday, July 5, 1985",Reunion Arena,"Dallas, Texas",Setlist,
"Saturday, July 6, 1985",Convention Center,"San Antonio, Texas",Setlist,
"Sunday, July 7, 1985",The Summit,"Houston, Texas",Review,
"Tuesday, July 9, 1985",Municipal Auditorium,"Nashville, Tennessee",,
"Thursday, July 11, 1985",The Omni,"Atlanta, Georgia",,
"Friday, July 12, 1985",USF Sun Dome,"Tampa, Florida",Setlist,Special Guest: Roger McGuinn
,,,Review,
"Saturday, July 13, 1985",JFK Stadium,"Philadelphia, Pennsylvania",Review,Live Aid
,,,,American Girl/The Waiting/Rebels/Refugee
"Sunday, July 14, 1985",Jones Beach Amphitheater,"Wantagh, New York",Setlist,
"Saturday, July 20, 1985",Lawlor Events Center,"Reno, Nevada",,
"Sunday, July 21, 1985",Cal Expo Amphitheater,"Sacramento, California",,
"Wednesday, July 24, 1985",Seattle Center Coliseum,"Seattle, Washington",Setlist,
"Friday, July 26, 1985",Greek Theatre,"Berkeley, California",Setlist,Special Guest: Dave Stewart
"Saturday, July 27, 1985",Chronicle Pavilion,"Concord, California",Setlist,
,,,Review,
"Tuesday, July 30, 1985",Compton Terrace,"Phoenix, Arizona",Setlist,Special Guest: Stevie Nicks
"Thursday, August 1, 1985",The Forum,"Los Angeles, California",Review #1,
,,,Review #2,
"Sunday, August 4, 1985",Universal Amphitheater,"Universal City, California",,
"Monday, August 5, 1985",--,"Costa Mesa, California",,
"Tuesday, August 6, 1985",Wiltern Theater,"Los Angeles, California",Setlist,
"Wednesday, August 7, 1985",Wiltern Theater,"Los Angeles, California",,
"Friday, August 9, 1985",Sports Arena,"San Diego, Calfornia",,
,,,,
"Tuesday, September 17, 1985",Mulholland Tomorrow Benefit,"Universal City, California",,
,Universal Amphitheater,,,
"Thursday, September 19, 1985",Sanctuary Benefit,"Tuscon, Arizona",,
"Sunday, September 22, 1985",Farm Aid,"Champaign, Illinois",,
,Memorial Stadium,,,
"Wednesday, February 5, 1986",Athletic Park,"Wellington, New Zealand ",Review,
"Friday, February 7, 1986",Mt. Smart Stadium,"Auckland, New Zealand",,
"Monday, February 10, 1986",Entertainment Centre,"Sydney, Australia",,
"Tuesday, February 11, 1986",Entertainment Centre,"Sydney, Australia",,Special Guest: Stevie Nicks
"Wednesday, February 12, 1986",Entertainment Centre,"Sydney, Australia",,Special Guest: Stevie Nicks
"Thursday, February 13, 1986",Entertainment Centre,"Sydney, Australia",,
"Saturday, February 15, 1986",Memorial Drive,"Adelaide, Australia",,
"Monday, February 17, 1986",Perth Entertainment Centre,"Perth, Australia",,
"Tuesday, February 18, 1986",Perth Entertainment Centre,"Perth, Australia",,
"Thursday, February 20, 1986",Kooyong Stadium,"Melbourne, Australia",Review,
"Friday, February 21, 1986",Kooyong Stadium,"Melbourne, Australia",,
"Saturday, February 22, 1986",Kooyong Stadium,"Melbourne, Australia",,
"Monday, February 24, 1986",Entertainment Centre,"Sydney, Australia",,
"Tuesday, February 25, 1986",Entertainment Centre,"Sydney, Australia",,
"Friday, February 28, 1986",Lang Park,"Brisbane, Australia",,
"Saturday, March 1, 1986",Lang Park,"Brisbane, Australia",,
"Wednesday, March 5, 1986",Nippon Budokan Hall,"Tokyo, Japan",,
"Thursday, March 6, 1986",Osaka-jō Hall,"Osaka, Japan",,
"Saturday, March 8, 1986",Nagoya-Taiikukan,"Nagoya, Japan",,
"Monday, March 10, 1986",Nippon Budokan Hall,"Tokyo, Japan",,
"Friday, June 6, 1986",Conspiracy of Hope Benefit,"Los Angeles, California",,
,The Forum,,,
"Monday, June 9, 1986",San Diego Sports Arena,"San Diego, California",Review #1,
,,,Review #2,
,,,Review #3,
"Wednesday, June 11, 1986",Lawlor Events Center,"Reno, Nevada",,
"Thursday, June 12, 1986",Cal Expo Amphitheatre,"Sacramento, California",,
"Friday, June 13, 1986",Greek Theatre,"Berkeley, California",,
"Saturday, June 14, 1986",Greek Theatre,"Berkeley, California",,
"Monday, June 16, 1986",Pacific Amphitheater,"Costa Mesa, California",Review,
"Tuesday, June 17, 1986",Pacific Amphitheater,"Costa Mesa, California",,
"Wednesday, June 18, 1986",Veterans Memorial Coliseum,"Phoenix, Arizona",Review,
"Friday, June 20, 1986",Southern Star Amphitheater,"Houston, Texas",Review,
"Saturday, June 21, 1986",Frank Erwin Center,"Austin, Texas",,
"Sunday, June 22, 1986",Reunion Arena,"Dallas, Texas",,
"Tuesday, June 24, 1986",Market Square Arena,"Indianapolis, Indiana",,
"Thursday, June 26, 1986",Hubert M. Humphrey Metrodome,"Minneapolis, Minnesota",Review,
"Friday, June 27, 1986",Alpine Valley Amphitheater,"East Troy, Wisconsin",,
"Sunday, June 29, 1986",Poplar Creek Music Theater,"Hoffman Estates, Illinois",,
"Monday, June 30, 1986",Pine Knob Music Theater,"Clarkson, Michigan",,
"Tuesday, July 1, 1986",Pine Knob Music Theater,"Clarkson, Michigan",,
"Wednesday, July 2, 1986",Rubber Bowl,"Akron, Ohio",Review #1,
,,,Review #2,
"Friday, July 4, 1986",Rich Stadium,"Buffalo, New York",,
"Sunday, July 6, 1986",RFK Stadium,"Washington, D.C.",,
"Monday, July 7, 1986",RFK Stadium,"Washington, D.C.",,
"Tuesday, July 8, 1986",Great Woods Performing Arts Center,"Mansfield, Massachusetts",,
"Wednesday, July 9, 1986",Great Woods Performing Arts Center,"Mansfield, Massachusetts",,
"Friday, July 11, 1986",Civic Center Auditorium,"Hartford, Connecticut",,
"Sunday, July 13, 1986",Saratoga Performing Arts Center,"Saratoga Springs, New York",Review,
"Tuesday, July 15, 1986",Madison Square Garden,"New York City, New York",,
"Wednesday, July 16, 1986",Madison Square Garden,"New York City, New York",,
"Thursday, July 17, 1986",Madison Square Garden,"New York City, New York",,
"Saturday, July 19, 1986",The Spectrum,"Philadelphia, Pennsylvania ",Review,
"Sunday, July 20, 1986",The Spectrum ,"Philadelphia, Pennsylvania",,
"Monday, July 21, 1986",Meadowlands Brendan T. Byrne Sports Arena,"East Rutherford, New Jersey ",,
"Tuesday, July 22, 1986",Great Woods Performing Arts Center ,"Mansfield, Massachusetts",,
"Thursday, July 24, 1986",Sandstone Amphitheater,"Bonner Springs, Kansas",,
"Saturday, July 26, 1986",Red Rocks Amphitheater,"Morrison, Colorado",,
"Sunday, July 27, 1986",Red Rocks Amphitheater,"Morrison, Colorado",,
"Tuesday, July 29, 1986",Memorial Coliseum,"Portland, Oregon",,
"Thursday, July 31, 1986",Tacoma Dome,"Tacoma, Washington",,
"Friday, August 1, 1986",The B.C. Place,"Vancouver, British Columbia",Review,
"Sunday, August 3, 1986",The Forum,"Los Angeles, California",Review,
"Tuesday, August 5, 1986",Shoreline Amphitheater,"Mountain View, California",,
"Wednesday, August 6, 1986",Mid-State Fairground,"Paso Robles, California",,
,,,,
"Monday, October 13, 1986",Bridge School Benefit,"Mountain View, California",Review,
,Shoreline Amphitheater,,,
"Tuesday, May 26, 1987",--,"Tuscon, Arizona",,
"Wednesday, May 27, 1987",Arizona State University Activity Center,"Tempe, Arizona",Review #1,
,,,Review #2,
,,,Review #3,
"Friday, May 29, 1987",Frank Erwin Center,"Austin, Texas",,
"Saturday, May 30, 1987",The Summit,"Houston, Texas",Review,
"Monday, June 1, 1987",Reunion Arena,"Dallas, Texas",Setlist,
"Thursday, June 4, 1987",Concord Pavillon,"Concord, California",,
"Friday, June 5, 1987",Shoreline Amphitheater,"Mountain View, California",,
"Saturday, June 6, 1987",Pacific Amphitheatre,"Costa Mesa, California",Review,
"Monday, June 8, 1987",Universal Amphitheater,"Universal City, California",Review,
"Tuesday, June 9, 1987",Universal Amphitheater,"Universal City, California",,
"Thursday, June 11, 1987",Universal Amphitheater,"Universal City, California",,
"Friday, June 12, 1987",Universal Amphitheater,"Universal City, California",,
"Monday, June 15, 1987",Omaha Civic Auditorium,"Omaha, Nebraska",,
"Tuesday, June 16, 1987",Met Center,"Bloomington, Minnesota",,
"Thursday, June 18, 1987",Pine Knob Music Theater,"Clarkson, Michigan",Setlist,
"Friday, June 19, 1987",Alpine Valley,"East Troy, Wisconsin",Review,
"Saturday, June 20, 1987",Poplar Creek Music Theater,"Hoffman Estates, Illinois",,
"Monday, June 22, 1987",Pittsburgh Civic Arena,"Pittsburgh, Pennsylvania",Review #1,
,,,Review #2,
,,,Review #3,
"Tuesday, June 23, 1987",Blossom Music Center,"Cuyahoga Falls, Ohio",Setlist,
,,,Review #1,
,,,Review #2,
,,,Review #3,
"Wednesday, June 24, 1987",Deer Creek Music Center,"Noblesville, Indiana",,
"Friday, June 26, 1987",Saratoga Performing Arts Center,"Saratoga Springs, New York",Review #1,
"Saturday, June 27, 1987",Great Woods Performing Arts Center,"Mansfield, Massachusetts",Setlist,
"Sunday, July 5, 1987",Kingswood Music Theatre,"Maple, Ontario",,
"Wednesday, July 8, 1987",Madison Square Garden,"New York City, New York",Review,
"Friday, July 10, 1987",Jones Beach Amphitheater,"Wantagh, New York",Review,
"Saturday, July 11, 1987",Garden State Arts Center,"Holmdel, New Jersey",,
"Monday, July 13, 1987",--,"Manchester, New Hampshire",,
"Tuesday, July 14, 1987",--,"Syracuse, New York",,
"Thursday, July 16, 1987",The Spectrum,"Philadelphia, Pennsylvania",,
"Friday, July 17, 1987",New Haven Veterans Memorial Coliseum,"New Haven, Connecticut",Setlist,
"Saturday, July 18, 1987",Lakeside Amphitheatre,"Darien Center, New York",,
"Monday, July 20, 1987",Merriweather Post Pavillion,"Columbia, Maryland",,
"Wednesday, July 22, 1987",The Omni,"Atlanta, Georgia",,
"Friday, July 24, 1987",Memorial Coliseum,"Jacksonville, Florida",Setlist,FM Broadcast
"Saturday, July 25, 1987",West Palm Beach Auditorium,"West Palm Beach, Florida",Review,
"Sunday, July 26, 1987",USF Sun Dome,"Tampa, Florida",Review #1,
,,,Review #2,
"Saturday, September 5, 1987",Hayarkton Park ,"Tel-Aviv, Israel",Review,
"Monday, September 7, 1987",Sultan's Pool,"Jerusalem, Israel",,
"Thursday, September 10, 1987",St. Jacobshalle,"Basel, Switzerland",,
"Saturday, September 12, 1987",Area Ex Autodromo,"Moderna, Italy",,
"Sunday, September 13, 1987",Palasport,"Turin, Italy",,
"Tuesday, September 15, 1987",Westfalenhalle,"Dortmund, West Germany",,
"Wednesday, September 16, 1987",Frankenhalle,"Nuremberg, West Germany",,
"Thursday, September 17, 1987",Treptower Festwiese,"East Berlin, East Germany",,
"Saturday, September 19, 1987",Sportspaleis Ahoy,"Rotterdam, The Netherlands",,
"Sunday, September 20, 1987",Messehalle 20,"Hanover, West Germany",,
"Monday, September 21, 1987",Valby Hallen,"Copenhagen, Denmark",,
"Wednesday, September 23, 1987",Jäähalli,"Helsinki, Finland",,
"Friday, September 25, 1987",Scandinavium,"Gothernbeg, Sweden",,
"Saturday, September 26, 1987",Johanneshovs Isstadion,"Stockholm, Sweden",,
"Monday, September 28, 1987",Festhalle,"Frankfurt, West Germany",,
"Tuesday, September 29, 1987",Hanns Martin Schleyerhalle,"Stuttgart, West Germany",,
"Wednesday, September 30, 1987",Olympiahalle,"Munich, West Germany",,
"Thursday, October 1, 1987",Arena di Verona,"Verona, Italy",,
"Saturday, October 3, 1987",Roma Palaeur,"Rome, Italy",,
"Sunday, October 4, 1987",Arena Civica di Milano,"Milano, Italy",,
"Monday, October 5, 1987",Piazza Grande,"Locarno, Switzerland",,
"Wednesday, October 7, 1987",P.O.P.B. Bercy,"Paris, France",,
"Thursday, October 8, 1987",Vorst Nationaal,"Brussels, Belgium",,
"Saturday, October 10, 1987",National Exhibition Centre,"Birmingham, England",,
"Sunday, October 11, 1987",National Exhibition Centre,"Birmingham, England",,
"Monday, October 12, 1987",National Exhibition Centre,"Birmingham, England",,
"Wednesday, October 14, 1987",Wembley Arena,"London, England",,
"Thursday, October 15, 1987",Wembley Arena,"London, England",,
"Friday, October 16, 1987",Wembley Arena,"London, England",,
"Saturday, October 17, 1987",Wembley Arena,"London, England",,Special Guest: George Harrison
,,,,
"Sunday, December 4, 1988",Bridge School Benefit,"Oakland, California",,
,Oakland Coliseum,,,
"Saturday, May 20, 1989",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 14, Episode 266)"
,,,,Runnin' Down a Dream/Free Fallin'
"Wednesday, July 5, 1989",Miami Arena,"Miami, Florida",,
"Thursday, July 6, 1989",Bayfront Center Arena,"St. Petersburg, Florida",,Special Guest: Roger McGuinn
"Saturday, July 8, 1989",Orlando Arena,"Orlando, Florida",Review,
"Sunday, July 9, 1989","Marcus, Amphitheater","Milwaukee, Wisconsin",Review #1,
,,,Review #2,
"Thursday, July 13, 1989",The Summit,"Houston, Texas",Review,
"Friday, July 14, 1989",Frank Erwin Center,"Austin, Texas",,
"Saturday, July 15, 1989",Starplex Amphitheatre,"Dallas, Texas",,
"Monday, July 17, 1989",Fiddler's Green Amphitheatre,"Colorado Springs, Colorado",,
"Thursday, July 20, 1989",Seattle Center Coliseum,"Seattle, Washington",,
"Saturday, July 22, 1989",Shoreline Amphitheater,"Mountain View, California",,
"Sunday, July 23, 1989",Cal Expo Amphitheatre,"Sacramento, California",,
"Tuesday, July 25, 1989",SDSU Open Air Theatre,"San Diego, California",Review,
"Wednesday, July 26, 1989",ASU Activity Center,"Tempe, Arizona",,
"Thursday, July 27, 1989",Pacific Amphitheatre,"Costa Mesa, California",,
"Saturday, July 29, 1989",Universal Amphitheater,"Universal City, California",,
"Sunday, July 30, 1989",Universal Amphitheater,"Universal City, California",,
"Monday, July 31, 1989",Universal Amphitheater,"Universal City, California",,
"Friday, August 4, 1989",Lakewood Amphitheatre,"Atlanta, Georgia",,
"Monday, August 7, 1989",Pine Knob,"Clarkson, Michigan",,
"Tuesday, August 8, 1989",Blossom Music Center,"Cuyahoga Falls, Ohio",Review,
"Thursday, August 10, 1989",Poplar Creek,"Hoffman Estates, Illinois",Review,
"Friday, August 11, 1989",Deer Creek Music Center,"Noblesville, Illinois",,
"Sunday, August 13, 1989",Riverbend Music Center,"Cincinnati, Ohio",,
"Tuesday, August 15, 1989",Mann Music Center,"Philadelphia, Pennslylvania",Review,
"Wednesday, August 16, 1989",Jones Beach,"Wantagh, New York",,
"Friday, August 18, 1989",Orange County Fairgrounds,"Middletown, New York",,
"Saturday, August 19, 1989",Brendan Byrne Arena,"East Rutherford, New Jersey",,
"Sunday, August 20, 1989",Garden State Arts Center,"Holmdel, New Jersey",,
"Wednesday, August 23, 1989",Merriweather Post Pavillion,"Columbia, Maryland",,
"Thursday, August 25, 1989",A.J. Palumbo Center,"Pittsburgh, Pennsylvania",Review #1,
,,,Review #2,
,,,Review #3,
,,,Review #4,
"Saturday, August 26, 1989",New York State Fair,"Syracuse, New York",,Special Guest: Axl Rose
"Sunday, August 27, 1989",Saratoga Performing Arts Center,"Saratoga Springs, New York",,
"Monday, August 28, 1989",Great Woods,"Mansfield, Massachussets",,
"Wednesday, August 30, 1989",Allentown Fairgrounds,"Allentown, Pennsylvania",Review,
"Thursday, August 31, 1989",Lake Compounce Festival Park,"Bristol, Connecticut",Review,
"Saturday, September 2, 1989",Kingswood Music Theatre,"Maple, Ontario",Review,
"Wednesday, September 6, 1989",MTV Video Music Awards,"Universal City, California",,
,Universal Amphitheater,,,
"Friday, September 8, 1989",Great Woods,"Mansfield, Massachussets",Review,
"Saturday, September 9, 1989",War Memorial Arena,"Rochester, New York",,Recorded for Westwood One Superstar Concert Series
"Sunday, September 10, 1989",Ohio Center,"Columbus, Ohio",,Recorded for Westwood One Superstar Concert Series
"Wednesday, September 13, 1989",Dean Smith Center,"Chapel Hill, North Carolina",,Recorded for Westwood One Superstar Concert Series
,,,,
"Saturday, October 28, 1989",Bridge School Benefit,"Mountain View, California",,
,Shoreline Amphitheater,,,
"Wednesday, January 24, 1990",Universal Amphitheater,"Universal City, Los Angeles",,Taping of Late Night with David Letterman
,,,,"Broadcast February 1, 1990"
"Friday, January 26, 1990",USF Sun Dome,"Tampa, Florida",,
"Saturday, January 27, 1990",O'Connell Center,"Gainesville, Florida",Review #1,
,,,Review #2,
,,,Review #3,
"Monday, January 29, 1990",Charlotte Coliseum,"Charlotte, North Carolina",,
"Wednesday, January 31, 1990",Nassau Coliseum,"Uniondale, New York",Review,
"Thursday, February 1, 1990",Providence Civic Center,"Providence, Rhode Island",Review,
"Saturday, February 3, 1990",Knickerbocker Arena,"Albany, New York",,
"Sunday, February 4, 1990",Patriot Center,"Fairfax, Virginia",,
"Tuesday, February 6, 1990",The Spectrum,"Philadelphia, Pennsylvania",Review #1,
,,,Review #2,
,,,Review #3,
,,,Review #4,
,,,Review #5,
"Wednesday, February 7, 1990",Nassau Coliseum,"Uniondale, New York",Review,
"Thursday, February 8, 1990",Hartford Civic Center Coliseum,"Hartford, Connecticut",,
"Saturday, February 10, 1990",University of Dayton Arena,"Dayton, Ohio",,
"Sunday, February 11, 1990",Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Tuesday, February 13, 1990",Richfield Coliseum,"Richfield, Ohio",,
"Thursday, February 15, 1990",Rosemont Horizon,"Rosemont, Illinois",Review,
"Friday, February 16, 1990",Redbird Arena,"Normal, Illinois",Review,
"Saturday, February 17, 1990",Carver-Hawkeye Arena,"Iowa City, Iowa",Review,
"Monday, February 19, 1990",Hilton Coliseum,"Ames, Iowa",,
"Tuesday, February 20, 1990",Met Center,"Bloomington, Minnesota",,
"Thursday, February 22, 1990",Market Square Arena,"Indianapolis, Indiana",Review,
"Friday, February 23, 1990",SIU Arena,"Carbondale, Illinois",,
"Sunday, February 25, 1990",Kiel Auditorium,"St. Louis, Missouri",,
"Monday, February 26, 1990",Kemper Arena,"Kansas City, Missouri",,
"Thursday, March 1, 1990",The Forum,"Los Angeles, California",Review,Special Guests: Bob Dylan and Bruce Springsteen
"Saturday, March 3, 1990",Pacific Ampitheatre,"Costa Mesa, California",,Special Guest: Roger McGuinn
"Monday, March 5, 1990",Arco Arena,"Sacramento, California",,
"Tuesday, March 6, 1990",Oakland Coliseum,"Oakland, California",,
"Thursday, August 29, 1991",Fiddler's Green,"Denver, Colorado",,
"Saturday, August 31, 1991",Municipal Auditorium,"Kansas City, Missouri",,
"Sunday, September 1, 1991",Riverport Amphitheatre,"Maryland Heights, Missouri",,
"Tuesday, September 3, 1991",Omaha Civic Auditorium,"Omaha, Nebraska",,
"Wednesday, September 4, 1991",Met Center,"Bloomington, Minnesota",,
"Friday, September 6, 1991",Poplar Creek Music Theatre,"Hoffman Estates, Illinois",,
"Saturday, September 7, 1991",Marcus Amphitheatre,"Milwaukee, Wisconsin",,
"Tuesday, September 10, 1991",Deer Creek Music Theatre,"Noblesville, Illinois",,
"Thursday, September 12, 1991",Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Friday, September 13, 1991",Blossom Music Centr,"Cuyahoga Falls, Ohio",,
"Sunday, September 15, 1991",Post-Gazette Pavilion at Star Lake,"Burgettstown, Pennsylvania",,
"Monday, September 16, 1991",First Union Spectrum,"Philadelphia, Pennsylvania",,
"Wednesday, September 18, 1991",Onondaga County War Memorial,"Syracuse, New York",,
"Thursday, September 19, 1991",Hartford Civic Center Coliseum,"Hartford, Connecticut",,
"Saturday, September 21, 1991",Knickerbocker Arena,"Albany, New York",,
"Sunday, September 22, 1991",Maple Leaf Gardens,"Toronto, Ontario",,
"Tuesday, September 24, 1991",Capital Centre,"Landover, Maryland",,
"Wednesday, September 25, 1991",William & Mary Hall,"Williamsburg, Virginia",,
"Tuesday, October 8, 1991",Nassau Coliseum,"Uniondale, New York",,
"Wednesday, October 9, 1991",Continental Airlines Arena,"East Rutherford, New Jersey",,
"Friday, October 11, 1991",Broome County Arena,"Binghamton, New York",,
"Saturday, October 12, 1991",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 17, Episode 309)"
,,,,Into the Great Wide Open/King's Highway
"Monday, October 14, 1991",Walnut Creek,"Raleigh, North Carolina",,
"Tuesday, October 15, 1991",Blockbuster Pavilion,"Charlotte, North Carolina",,
"Saturday, October 19, 1991",Lakewood Amphitheatre,"Atlanta, Georgia",,
"Sunday, October 20, 1991",Carolina Coliseum,"Columbia, South Carolina",,
"Tuesday, October 22, 1991",Miami Arena,"Miami, Florida",,
"Wednesday, October 23, 1991",USF Sun Dome,"Tampa, Florida",,
"Friday, October 25, 1991",Orlando Arena,"Orlando, Florida",,
"Saturday, October 26, 1991",O'Connell Center,"Gainesville, Florida",,
"Tuesday, October 29, 1991",Kiefer UNO Lakefront Arena,"New Orleans, Louisiana",,
"Wednesday, October 30, 1991",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,
"Friday, November 1, 1991",Frank Erwin Center,"Austin, Texas",,
"Saturday, November 2, 1991",Smirnoff Music Centre,"Dallas, Texas",,
"Monday, November 4, 1991",Myriad Arena,"Oklahoma City, Oklahoma",,
"Wednesday, November 6, 1991",Pan American Center,"Las Cruches, New Mexico",,
"Friday, November 8, 1991",Blockbuster Desert Sky Pavilion,"Phoenix, Arizona",,
"Saturday, November 9, 1991",Pacific Amphitheatre,"Costa Mesa, California",,
"Monday, November 11, 1991",Great Western Forum,"Inglewood, California",,
"Tuesday, November 12, 1991",San Diego Sports Arena,"San Diego, California",,
"Wednesday, November 20, 1991",Key Arena at Seattle Center,"Seattle, Washington",,
"Thursday, November 21, 1991",Memorial Coliseum,"Portland, Oregon",,
"Saturday, November 23, 1991",Lawlor Events Center,"Reno, Nevada",,
"Sunday, November 24, 1991",Oakland Arena,"Oakland, California",,
"Wednesday, November 27, 1991",Arco Arena,"Sacramento, California",,
"Wednesday, March 4, 1992",Sporthalle,"Oslo, Norway",,
"Friday, March 6, 1992",Scandinavium Arena,"Gothenburgh, Sweden",,
"Saturday, March 7, 1992",Globe Arena,"Stockholm, Sweden",,
"Monday, March 9, 1992",Sporthalle,"Hamburg, Germany",,
"Tuesday, March 10, 1992",Deutschlandhalle,"Berlin, Germany",,
"Thursday, March 12, 1992",Grugahalle,"Essen, Germany",,
"Sunday, March 15, 1992",Scottish Exhibition and Conference Centre,"Glasgow, Scotland",,
"Monday, March 16, 1992",King's Hall,"Belfast, Ireland",,
"Wednesday, March 18, 1992",Point Depot,"Dublin, Ireland",,
"Thursday, March 19, 1992",Point Depot,"Dublin, Ireland",,
"Saturday, March 21, 1992",National Exhibition Center,"Birmingham, England",,
"Monday, March 23, 1992",Wembly Arena,"London, England",,
"Tuesday, March 24, 1992",Wembly Arena,"London, England",,
"Thursday, March 26, 1992",Festhalle,"Frankfurt, Germany",,
"Friday, March 27, 1992",Olympiahalle,"Munich, Germany",,
"Sunday, March 29, 1992",St. Jakob Sporthalle,"Basel, Switzerland",,
"Monday, March 30, 1992",Zenith,"Paris, France",,
"Wednesday, April 1, 1992",Bruxelles,"Brussels, Belgium",,
"Thursday, April 2, 1992",Isstadion,"Malmo, Sweden",,
"Friday, October 16, 1992",Bob Dylan 30th Anniversary Concert,"New York City, New York",,
,Madison Square Garden,,,
"Saturday, August 14, 1993",Viper Room,"West Hollywood, California",,
"Tuesday, November 2, 1993",Bayfront Center Arena,"St. Petersburg, Florida",,with Carlene Carter
"Thursday, November 4, 1993",O'Connell Center,"Gainesville, Florida",,with Carlene Carter
,,,,Westwood One radio broadcast
"Saturday, October 1, 1994",Bridge School Benefit,"Mountain View, California",,
,Shoreline Amphitheatre,,,
"Sunday, October 2, 1994",Bridge School Benefit,"Mountain View, California",,
,Shoreline Amphitheatre,,,
"Saturday, November 19, 1994",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 20, Episode 372)"
,,,,You Don't Know How It Feels/Honey Bee
,,,,Dave Grohl on drums
"Tuesday, February 28, 1995",Louisville Gardens,"Louisville, Kentucky",,
"Wednesday, March 1, 1995",Market Square Arena,"Indianapolis, Indiana",,
"Friday, March 3, 1995",Joyce ACC Arena,"South Bard, Indiana",,
"Sunday, March 5, 1995",Milwaukee Arena,"Milwaukee, Wisconsin",,
"Monday, March 6, 1995",Peoria Civic Center Arena,"Peoria, Illinois",,
"Wednesday, March 8, 1995",United Center,"Chicago, Illinois",,
"Thursday, March 9, 1995",Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Saturday, March 11, 1995",Battelle Hall,"Columbus, Ohio",,
"Sunday, March 12, 1995",Cincinnati Gardens,"Cincinnati, Ohio",,
"Tuesday, March 14, 1995",Pittsburgh Civic Arena,"Pittsburgh, Pennsylvania",,
"Thursday, March 16, 1995",CSU Convocation Center,"Cleveland, Ohio",,
"Friday, March 17, 1995",Maple Leaf Gardens,"Toronto, Ontario",,
"Monday, March 20, 1995",Madison Square Garden,"New York City, New York",,
"Tuesday, Match 21, 1995",Knickerbocker Arena,"Albany, New York",,
"Thursday, March 23, 1995",Blue Cross Arena,"Rochester, New York",,
"Saturday, April 1, 1995",New Haven Veterans Memorial Coliseum ,"New Haven, Connecticut",,
"Sunday, April 2, 1995",Nassau Coliseum ,"Uniondale, New York",,
"Tuesday, April 4, 1995",Boston Garden ,"Boston, Massachussetts",,
"Wednesday, April 5, 1995",Boston Garden ,"Boston, Massachussetts",,
"Friday, April 7, 1995",First Union Spectrum ,"Philadelphia, Pennsylvania",,
"Sunday, April 9, 1995",Patriot Center,"Fairfax, Virginia",,
"Tuesday, April 11, 1995",Richmond Coliseum,Richmond. Virginia,,
"Wednesday, April 12, 1995",Walnut Creek,"Raleigh, North Carolina",,
"Friday, April 14, 1995",Blockbuster Pavilion,"Charlotte, North Carolina",,
"Saturday, April 15, 1995",Lakewood Amphitheatre,"Atlanta, Georgia",,
