ï..Date,Venue,City,Extras,Notes,latitude,longitude
"Tuesday, June 7, 2005",Germain Arena,"Estero, Florida",,,26.4381474,-81.8067537
"Wednesday, June 8, 2005",Sound Advice Amphitheater,"West Palm Beach, Florida",,,26.715364,-80.0532942
"Friday, June 10, 2005",Ford Amphitheatre,"Tampa, Florida",,,27.9477595,-82.458444
"Saturday, June 11, 2005",Music Midtown,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Tuesday, June 14, 2005",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Wednesday, June 15, 2005",Post Gazette Pavilion,"Pittsburgh, Pennsylvania",,,40.4416941,-79.9900861
"Friday, June 17, 2005",Tweeter Waterfront,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Saturday, June 18, 2005",Tweeter Center,"Mansfield, Massachussetts",,,NA,NA
"Tuesday, June 21, 2005",Jones Beach Amphitheater,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Wednesday, June 22, 2005",P.N.C. Bank Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Friday, June 24, 2005",Meadows Music Theatre,"Hartford, Connecticut",,,41.764582,-72.6908547
"Saturday, June 25, 2005",Darien Lake Performing Arts Center,"Darien Lake, New York",,,42.93194285,-78.38793960854856
"Tuesday, June 28, 2005",Van Andel Arena,"Grand Rapids, Michigan",,,42.9632405,-85.6678639
"Thursday, June 30, 2005",Blossom Music Center,"Cuyahoga Falls, Ohio",,,41.1348213,-81.4848086
"Monday, July 1, 2005",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Tuesday, July 9, 2005",UMB Bank Pavilion,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Wednesday, July 10, 2005",Verizon Wireless Amphitheater,"Kansas City, Kansas",,,39.100105,-94.5781416
"Saturday, July 13, 2005",Starwood Amphitheatre,"Antioch, Tennessee",,,35.756467,-84.2179718
"Monday, July 15, 2005",Tweeter Center,"Tinley Park, Illinois",,,41.5733669,-87.7844944
"Tuesday, July 16, 2005",Rockfest,"Caddot, Wisconsin",,,NA,NA
"Thursday, July 18, 2005",Wells Fargo Arena,"Des Moines, Iowa",,,41.5910323,-93.6046655
"Saturday, July 20, 2005",DTE Energy Music Theatre,"Detroit, Michigan",,,42.3315509,-83.046640300000007
"Sunday, July 21, 2005",Verizon Wireless Music Center,"Indianapolis, Indiana",,,39.7683331,-86.1583502
"Tuesday, July 23, 2005",Ford Pavilion at Montage Mountain,"Scranton, Pennsylvania",,,41.4086874,-75.6621294
"Wednesday, July 24, 2005",Borgata Resort & Casino,"Atlantic City, New Jersey",,,39.3642852,-74.4229351
"Saturday, July 27, 2005",Merriweather Post Pavilion,"Columbia, Maryland",,,39.1938429,-76.86460919353361
"Monday, July 29, 2005",Tweeter Center,"Mansfield, Massachussetts",,,NA,NA
"Tuesday, July 30, 2005",Saragota Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Thursday, August 4, 2005",Mid-State Fair,"Paso Robles, California",,,35.6267654,-120.6912456
"Saturday, August 13, 2005",Dodge Theatre,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Sunday, August 14, 2005",Verizon Wireless Amphitheatre,"Irvine, California",,,33.6856969,-117.8259819
"Tuesday, August 16, 2005",The Joint,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Thursday, August 18, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,,39.6535988,-105.1910996
"Friday, August 19, 2005",The Cricket Pavilion,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Saturday, August 20, 2005",Coors Amphitheater,"San Diego, California",,,32.7174202,-117.1627728
"Sunday, August 21, 2005",Hyundai Pavilion,"Devore, California",,,34.2163964,-117.4014365
"Tuesday, August 23, 2005",New Reno Downtown Events Center,"Reno, Nevada",,,39.5261206,-119.8126581
"Wednesday, August 24, 2005",Sleep Train Amphitheater,"Sacramento, California",,,38.5810606,-121.493895
"Friday, August 26, 2005",Greek Theatre,"Berkeley, California",,,37.8753497,-122.23963364918777
"Saturday, August 27, 2005",Greek Theatre,"Berkeley, California",,,37.8753497,-122.23963364918777
"Tuesday, August 30, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,,39.6535988,-105.1910996
"Wednesday, August 31, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,,39.6535988,-105.1910996
"Friday, September 2, 2005",The Gorge,"George, Washington",,,47.0807166,-119.8570901
"Saturday, September 3, 2005",The Gorge,"George, Washington",,,47.0807166,-119.8570901
"Friday, June 9, 2006",Verizon Amphitheatre,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Saturday, June 10, 2006",Nissan Pavillion,"Bristow, Virginia",,,38.7233263,-77.5365669
"Monday, June 12, 2006",Ntelos Pavilion,"Portsmouth, Virginia",,,36.8444196,-76.3532998
"Wednesday, June 14, 2006",Germain Amphitheater,"Columbus, Ohio",,,39.9622601,-83.0007065
"Friday, June 16, 2006",Bonnaroo Music Festival,"Manchester, Tennessee",,,35.4817432,-86.0885993
"Saturday, June 17, 2006",UMB Bank Pavilion,"St. Louis, Missouri",,,38.6529545,-90.24111656024635
"Tuesday, June 20, 2006",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Wednesday, June 21, 2006",Tweeter Center,"Mansfield, Massachussetts",,,NA,NA
"Friday, June 23, 2006",Verizon Amphitheatre,"Indianapolis, Indiana",,,39.7683331,-86.1583502
"Monday, June 26, 2006",Excel Arena,"St. Paul, Minnesota",,,44.9497487,-93.0931028
"Tusday, June 27, 2006",Excel Arena,"St. Paul, Minnesota",,,44.9497487,-93.0931028
"Thursday, June 29, 2006",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Friday, June 30, 2006",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Sunday, July 2, 2006",Pepsi Center,"Denver, Colorado",,,39.7392364,-104.9848623
"Monday, July 3, 2006",Pepsi Center,"Denver, Colorado",,,39.7392364,-104.9848623
"Saturday, July 29, 2006",Clark County Amphitheater,"Portland, Oregon",,,45.5202471,-122.6741949
"Sunday, July 30, 2006",White River Amphitheater,"Seattle, Washington",,,47.6038321,-122.3300624
"Friday, August 4, 2006",Smirnoff Music Center,"Dallas, Texas",,,32.7762719,-96.7968559
"Saturday, August 5, 2006",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Tuesday, August 8, 2006",DTE Music Center,"Detroit, Michigan",,,42.3315509,-83.046640300000007
"Wednesday, August 9, 2006",Rock N The Rally,"Sturgis, South Dakota",,,44.409707,-103.509079
"Saturday, August 12, 2006",Dodge Music Center,"Hartford, Connecticut",,,41.764582,-72.6908547
"Sunday, August 13, 2006",Saratoga Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Tuesday, August 15, 2006",Darien Lake Performing Arts Center,"Darien Lake, New York",,,42.93194285,-78.38793960854856
"Wednesday, August 16, 2006",Post-Gazette Pavilion,"Burgettstown, Pennsylvania",,,40.3820133,-80.3928423
"Friday, August 18, 2006",Tweeter Center,"Camden, New Jersey",,,39.9448402,-75.1198911
"Saturday, August 19, 2006",Amsterjam,"Randall's Island, New York",,,40.7950821,-73.9199154
"Friday, September 8, 2006",Molson Amphitheater,"Toronto, Ontario",,,43.6534817,-79.3839347
"Sunday, September 10, 2006",Alltel Pavilion,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Tuesday, September 12, 2006",Alliant Energy Center,"Madison, Wisconsin",,,43.074761,-89.3837613
"Thursday, September 14, 2006",Charter One Pavilion,"Chicago, Illinois",,,41.8755616,-87.6244212
"Friday, September 15, 2006",Charter One Pavilion,"Chicago, Illinois",,,41.8755616,-87.6244212
"Sunday, September 17, 2006",Austin City Limits Festival,"Austin, Texas",,,30.2711286,-97.7436995
"Thursday, September 21, 2006",Stephen O' Connell Center,"Gainesville, Florida",,,29.6519684,-82.3249846
"Friday, September 22, 2006",Hi-Fi Buys Amphitheater,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Tuesday, September 26, 2006",Hollywood Bowl,"Los Angeles, California",,,34.0536909,-118.242766
"Wednesday, September 27, 2006",Coors Amphieater,"San Diego, California",,,32.7174202,-117.1627728
"Friday, September 29, 2006",Greek Theatre,"Berkeley, California",,,37.8753497,-122.23963364918777
"Saturday, September 30, 2006",Greek Theatre,"Berkeley, California",,,37.8753497,-122.23963364918777
"Wednesday, October 4, 2006,Â ",Glendale Arena,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Friday, October 20, 2006",Raley Field,"Sacramento, California",,,38.5810606,-121.493895
"Saturday, October 21, 2006",Indian Wells Tennis Garden,"Indian Wells, California",,,33.7217965,-116.338303
"Saturday, October 28, 2006",Vegoose Music Festival,"Las Vegas, Nevada",,,36.1672559,-115.148516
,Sam Boyd Stadium,,,,NA,NA
,,,,,NA,NA
"Saturday, August 25, 2007",Hampton Social,"East Hampton, New York",,,40.9633868,-72.1847598
,Ross School,,,,NA,NA
"Saturday, April 12, 2008",Benefit for the Midnight Mission,"Malibu, California",,,34.035591,-118.689423
,Malibu Performing Arts Center,,,,NA,NA
"Monday, April 14, 2008",Santa Cruz Civic Auditorium,"Santa Cruz, California",,,37.050096,-121.9905908
"Wednesday, April 16, 2008",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Thursday, April 17, 2008",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, April 19, 2008",Arlington Theatre,"Santa Barbara, California",,,34.4221319,-119.7026673
"Sunday, April 20, 2008",Ventura Theatre,"Ventura, California",,,34.4458248,-119.0779359
"Tuesday, April 22, 2008",Concerts in the Park,"Alpine, California",,,38.5893934,-119.8345013
"Friday, April 25, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Saturday, April 26, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Monday, April 28, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Tuesday, April 29, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Thursday, May 1, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Friday, May 2, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Saturday, April 12, 2008",Benefit for the Midnight Mission at Malibu PAC,"Malibu, California",,,34.035591,-118.689423
"Monday, April 14, 2008",Santa Cruz Civic Auditorium,"Santa Cruz, California",,,37.050096,-121.9905908
"Wednesday, April 16, 2008",Fillmore,"San Francisco, California",,,37.7790262,-122.419906
"Thursday, April 17, 2008",Fillmore,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, April 19, 2008",Arlington Theatre,"Santa Barbara, California",,,34.4221319,-119.7026673
"Sunday, April 20, 2008",Ventura Theatre,"Ventura, California",,,34.4458248,-119.0779359
"Tuesday, April 22, 2008",Concerts in the Park,"Alpine, California",,,38.5893934,-119.8345013
"Friday, April 25,Â 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Saturday, April 26, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Monday, April 28, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Tuesday, April 29, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Thursday, May 1, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Friday, MayÂ 2, 2008",Troubadour,"West Hollywood, California",,,34.0923014,-118.3692894
"Friday, May 30, 2008",Van Andel Arena,"Grand Rapids, Michigan",,,42.9632405,-85.6678639
"Saturday, May 31, 2008",The Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Tuesday, June 3, 2008",Air Canada Centre,"Toronto, Ontario",,,43.6534817,-79.3839347
"Thursday, June 5, 2008",Wachovia Center,"Philadelphia,Â Pennsylvania",,,39.9527237,-75.1635262
"Friday, JuneÂ 6, 2008",Wachovia Center,"Philadelphia,Â Pennsylvania",,,39.9527237,-75.1635262
"Sunday, June 8, 2008",Nissan Pavilion,"Bristow, Virginia",,,38.7233263,-77.5365669
"Tuesday, June 10, 2008",Post-Gazette Pavillion at Star Lake,"Burgettstown,Â Pennsylvania",,,40.3820133,-80.3928423
"Wednesday, June 11, 2008",New England Dodge Music Center,"Hartford,Â Connecticut",,,41.7701847,-72.6771375
"Friday, June 13, 2008",TD Banknorth Garden,"Boston,Â Massachusetts",,,42.3529327,-71.0714884
"Saturday, June 14, 2008",Tweeter Center,"Mansfield,Â Massachusetts",,,42.0334326,-71.2189405
"Wednesday, June 18, 2008",Prudential Center,"Newark, New Jersey",,,40.735657,-74.1723667
"Saturday, June 21, 2008",Darien Lake Performing Arts Center,"Darien Center, New York",,,42.9011709,-78.3886312
"Sunday, June 22, 2008",Blossom Music Center,"Cuyahoga Falls, Ohio",,,41.1348213,-81.4848086
"Wednesday, June 25, 2008",Hollywood Bowl,"Los Angeles, California",,,34.0536909,-118.242766
"Wednesday, July 2, 2008",United Center,"Chicago, Illinois",,,41.8755616,-87.6244212
"Thursday, July 3, 2008",Verizon Wireless Music Center,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Saturday, July 5, 2008",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Tuesday, July 8, 2008",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Wednesday, July 9, 2008",Verizon Wireless Amphitheatre at Encore Park,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Friday, July 11, 2008",Charlotte Verizon Wirelss Amphitheatre,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Saturday, July 12, 2008",Walnut Creek Amphitheatre,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Tuesday, July 15, 2008",Bank Atlantic Centre,"Sunrise, Florida",,,26.1666888,-80.2787573
"Wednesday, July 16, 2008",St Pete Times Forum,"Tampa, Florida",,,27.9477595,-82.458444
"Saturday, July 19, 2008",Outer Fields at Dick's Sporting Goods Park,"Denver, Colorado",,,39.7392364,-104.9848623
"Sunday, July 20, 2008",Qwest Center Omaha,"Omaha, Nebraska",,,41.2587459,-95.9383758
"Wednesday, July 23, 2008",Target Center,"Minneapolis, Minnesota",,,44.9772995,-93.2654692
"Saturday, July 26, 2008",Pemberton Festival,"Pemberton, British Columbia",,,50.3203804,-122.8080783
"Thursday, August 7, 2008",Verizon Wireless Amphitheatre,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Saturday, August 9, 2008",MTS Centre,"Winnipeg, Manitoba",,,49.8955367,-97.1384584
"Monday, August 11, 2008",Pengrowth Saddledome,"Calgary, Alberta",,,51.0460954,-114.065465
"Tuesday, August 12, 2008",Rexall Place/Northlands Park,"Edmonton, Alberta",,,53.535411,-113.507996
"Friday, August 15, 2008",Gorge Amphitheatre,"George, Washington",,,47.0807166,-119.8570901
"Saturday, August 16, 2008",Gorge Amphitheatre,"George, Washington",,,47.0807166,-119.8570901
"Wednesday, August 20, 2008",Jobing.com Arena,"Glendale, Arizona",Setlist,,33.5386858,-112.1859941
"Friday, August 22, 2008",Verison Wireless Amphitheater,"Irvine, California",,,33.6856969,-117.8259819
"Saturday, August 23, 2008",Golden Gate Park,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, August 26, 2008",Verizon Wireless Amphitheatre,"Selma, Texas",,,29.5848923,-98.305779
"Wednesday, August 27, 2008",American Airlines Center,"Dallas, Texas",,,32.7762719,-96.7968559
"Friday, August 29, 2008",Cynthia Woods Mitchell Pavillion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Wednesday, May 12, 2010",Freedom Hall,"Louisville, Kentucky",,,38.2542376,-85.759407
"Wednesday, May 19, 2010",Sprint Center,"Kansas City, Missouri",,,39.100105,-94.5781416
"Thursday, May 20, 2010",Credit Union Centre,"Saskatoon, Saskatchewan",,,52.131802,-106.660767
"Friday, May 21, 2010",St Pete Times Forum,"Tampa, Florida",,,27.9477595,-82.458444
"Tuesday, June 1, 2010",Red Rocks Ampitheater,"Denver, Colorado",,,39.7392364,-104.9848623
"Thursday, June 3, 2010",Red Rocks AmpitheaterÂ ,"Denver, Colorado",,,39.7392364,-104.9848623
"Saturday, June 5, 2010",Oracle Arena,"Oakland, California",,,37.8044557,-122.2713563
"Tuesday, June 8, 2010",GM Place,"Vancouver, British Columbia",,,49.2608724,-123.113952
"Friday, June 11, 2010",The Gorge,"Seattle, Washington",,,47.6038321,-122.3300624
"Saturday, June 12, 2010",The Gorge,"Seattle, Washington",,,47.6038321,-122.3300624
"Tuesday, June 15, 2010",Pengrowth Saddeldome,"Calgary, Alberta",,,51.0460954,-114.065465
"Wednesday, June 16, 2010",Rexall Place,"Edmonton, Alberta",,,53.535411,-113.507996
"Friday, June 18, 2010",Credit Union Centre,"Saskatoon, Saskatchewan",,,52.131802,-106.660767
"Saturday, June 19, 2010",MTS Center,"Winnipeg, Manitoba",Setlist,,49.8955367,-97.1384584
"Tuesday, June 22, 2010",Xcel Energy Center,"St. Paul, Minnesota",Setlist,,44.9497487,-93.0931028
"Wednesday, June 23, 2010",Qwest Center,"Omaha, Nebraska",,,41.2587459,-95.9383758
"Friday, June 25, 2010",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Saturday, June 26, 2010",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Saturday, July 10, 2010",Verizon Wireless Music Center,"Indianapolis, Indiana",,,39.7683331,-86.1583502
"Tuesday, July 13, 2010",Sprint Center,"Kansas City, Missouri",,,39.100105,-94.5781416
"Thursday, July 15, 2010",Riverbend Music CenterÂ ,"Cincinnati, Ohio.Â Liberty went!",,,NA,NA
"Saturday, July 17, 2010",United Center,"Chicao, Illinois",,,NA,NA
"Sunday, July 18, 2010",Verizon Wireless Amphitheatre,"St. Louis, Missouri",Setlist,,38.6529545,-90.24111656024635
"Thursday, July 22, 2010",Palace of Auburn Hills,"Detroit, Michigan",,,42.3315509,-83.046640300000007
"Saturday, July 24, 2010",First Niagara Pavillion,"Pittsburgh, Pennsylvania",,,40.4416941,-79.9900861
"Wednesday, July 28, 2010",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Saturday, July 31, 2010",Wachovia Center,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Sunday, August 1, 2010",Wachovia Center,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Wednesday, August 11, 2010",Philips Arena,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Thursday, August 12, 2010",Sommet Center,"Nashville, Tennessee",Setlist,,36.1622767,-86.7742984
"Saturday, August 14, 2010",Darien Lake Performing Arts Center,"Darien Lake, New York",,,42.93194285,-78.38793960854856
"Sunday, August 15, 2010",Jiffy Lube Live,"Washington, DC",,,38.8950368,-77.0365427
"Tuesday, August 17, 2010",Comcast Theater,"Hartford, Connecticut",,,41.764582,-72.6908547
"Thursday, August 19, 2010",Comcast Center,"Boston, Massachusetts",,,42.3602534,-71.0582912
"Saturday, August 21, 2010",Comcast Center,"Boston, Massachusetts",,,42.3602534,-71.0582912
"Tuesday, August 24, 2010",Izod Center,"East Rutherford, New Jersey",,,40.82046,-74.08307621723368
"Wednesday, August 25, 2010",Air Canada Centre,"Toronto, Ontario",Setlist,,43.6534817,-79.3839347
"Friday, August 27, 2010",Saratoga Springs Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Saturday, August 28, 2010",Darien Lake Performing Arts Center,"Darien Lake, New York",,,42.93194285,-78.38793960854856
"Tuesday, August 31, 2010",Blossom Music Center,"Cuyahoga Falls, Ohio",Setlist,,41.1348213,-81.4848086
"Thursday, September 16, 2010",St Pete Times Forum,"Tampa, Florida",,,27.9477595,-82.458444
"Saturday, September 18, 2010",TWC Music Pavillion at Walnut Creek,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Sunday, September 19, 2010",Charlotte Verizon Wireless Amphitheatre,"Charlotte, Noorth Carolina",,,NA,NA
"Tuesday, September 21, 2010",Superpages.com Center,"Dallas, Texas",,,32.7762719,-96.7968559
"Thursday, September 23, 2010",BOK Center,"Tulsa, Oklahoma",,,36.1556805,-95.9929113
"Friday, September 24, 2010",Cynthia Woods Mitchell Pavillion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Wednesday, October 1, 2010",Hollywood Bowl,"Los Angeles, CaliforniaÂ ",,,NA,NA
"Thursday, October 2, 2010",Verizon Wireless Amphitheatre,"Irvine, California",,,33.6856969,-117.8259819
"Sunday, October 5, 2010",Cricket Wireless Amphitheatre,"San Diego, California",,,32.7174202,-117.1627728
"Tuesday, October 7, 2010",US Airways Center,"Phoenix, Arizona",,,33.4484367,-112.0741417
,,,,,NA,NA
"Friday, October 29, 2010",Plaza Del Sol Performing Arts Center,"Northridge, California",Setlist,,34.2345615,-118.5369316
"Saturday, October 30, 2010",Plaza Del Sol Performing Arts Center,"Northridge, California",,,34.2345615,-118.5369316
"Thursday, April 19, 2012",1st Bank Center,"Broomfield, Colorado",Setlist,,39.9203827,-105.0691464
"Saturday, April 21, 2012",Verizon Arena,"North Little Rock, Arkansas",Setlist,,34.769536,-92.2670941
,,,Review,,NA,NA
"Tuesday, April 24, 2012",Tingley Coliseum,"Albuquerque, New Mexico",Setlist,,35.212870949999996,-106.71324849574629
"Thursday, April 26, 2012",Intrust Bank Arena,"Wichita, Kansas",Setlist,,37.6922361,-97.3375448
,,,Review,,NA,NA
"Saturday, April 28, 2012",New Orleans Jazz & Heritage Festival,"New Orleans, Louisiana",Setlist,,29.9499323,-90.0701156
,,,Review,,NA,NA
"Sunday, April 29, 2012",Verizon Wireless Amphitheatre,"Alpharetta, Georgia",Setlist,,34.0709576,-84.2747329
"Tuesday, May 1, 2012",Germain Arena,"Estero, Florida",Setlist,,26.4381474,-81.8067537
,,,Review #1,,NA,NA
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
"Thursday, May 3, 2012",Amway Center,"Orlando, Florida",Setlist,,28.5421109,-81.3790304
,,,Review,,NA,NA
"Saturday, May 5, 2012",Frank Erwin Center,"Austin, Texas",Setlist,,30.2711286,-97.7436995
"Thursday, May 31, 2012",Metro Center,"Halifax, Nova Scotia",Setlist,,44.648618,-63.5859487
,,,Review #1,,NA,NA
,,,Review #2,,NA,NA
"Saturday, June 2, 2012",Mile One Center,"St. John's, Newfoundland",Setlist,,47.561701,-52.715149
,,,Review,,NA,NA
"Sunday, June 3, 2012",Mile One Center,"St. John's, Newfoundland",Setlist,,47.561701,-52.715149
"Thursday, June 7, 2012",02 Arena,"Dublin, Ireland",Setlist,,53.3497645,-6.2602732
,,,Review,,NA,NA
"Friday, June 8, 2012",The Marquee,"Cork, Ireland",Setlist,,51.897077,-8.4654674
"Sunday, June 10, 2012",02 World,"Hamburg, Germany",Setlist,,53.550341,10.000654
"Tuesday, June 12, 2012",Open Air,"Horsens, Denmark",Setlist,,55.8611696,9.8444774
"Thursday, June 14, 2012",The Globe,"Stockholm, Sweden",Setlist,,59.3251172,18.0710935
"Friday, June 15, 2012",Norwegian Wood Festival,"Oslo, Norway",Setlist,,59.9133301,10.7389701
"Monday, June 18, 2012",Royal Albert Hall,"London, England",Setlist,,51.5073219,-0.1276474
,,,Review #1,,NA,NA
,,,Review #2,,NA,NA
"Wednesday, June 20, 2012",Royal Albert Hall,"London, England",Setlist,,51.5073219,-0.1276474
"Friday, June 22, 2012",Isle of Wight Festival,"Newport, England",Setlist,,50.6913105,-1.3163555978208235
"Sunday, June 24, 2012",Heineken Music Hall,"Amsterdam, The Netherlands",Setlist,,52.3727598,4.8936041
"Monday, June 25, 2012",Lanxess Arena,"Cologne, Germany",Setlist,,50.938361,6.959974
"Wednesday, June 27, 2012",Grand Rex,"Paris, France",Setlist,,48.8588897,2.3200410217200766
"Friday, June 29, 2012",Piazza Napoleone,"Lucca, Italy",Setlist,,44.017763900000006,10.454430026192636
"Saturday, June 30, 2012",SAP Arena,"Mannheim, Germany",Setlist,,49.4892913,8.4673098
"Thursday, May 16, 2013",The Ford Center,"Evansville, Indiana",Setlist,,37.9747645,-87.5558483
"Saturday, May 18, 2013",Hangout Music Festival,"Gulf Shores, Alabama",Setlist,,30.2711224,-87.6893826
"Monday, May 20, 2013",Beacon Theatre,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Tuesday, May 21, 2013",Beacon Theatre,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Thursday, May 23, 2013",Beacon Theatre,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Saturday, May 25, 2013",Beacon Theatre,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Sunday, May 26, 2013",Beacon Theatre,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Monday, June 3, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,,34.0980031,-118.329523
"Tuesday, June 4, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,,34.0980031,-118.329523
"Thursday, June 6, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,,34.0980031,-118.329523
"Saturday, June 8, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,Show cut short by L.A. Fire Department.,34.0980031,-118.329523
"Sunday, June 9, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,,34.0980031,-118.329523
"Tuesday, June 11, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,,34.0980031,-118.329523
"Saturday, June 15, 2013",Klipsch Music Center,"Noblesville, Indiana",Setlist,,40.0455918,-86.0085955
"Sunday, June 16, 2013",Bonnaroo Music and Arts Festival,"Manchester, Tennessee",Setlist,,35.4817432,-86.0885993
"Tuesday, June 18, 2013",Budweiser Gardens,"London, Ontario",Setlist,,42.9836747,-81.2496068
"Thursday, June 20, 2013",Consol Energy Center,"Pittsburgh, Pennsylvania",Setlist,,40.4416941,-79.9900861
"Saturday, June 22, 2013",Firefly Music Festival,"Dover, Delaware",Setlist,,39.158168,-75.5243682
"Sunday, June 23, 2013",Saratoga Performing Arts Center,"Saratoga Springs, New York",Setlist,,43.0821793,-73.7853915
"Friday, June 28, 2013",Summerfest,"Milwaukee, Wisconsin",Setlist,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Saturday, June 29, 2013",Target Center,"Minneapolis, Minnesota",Setlist,,44.9772995,-93.2654692
"Sunday, August 3, 2014",Viejas Arena,"San Diego, California",Setlist,,32.7174202,-117.1627728
"Tuesday, August 5, 2014",Taco Bell Arena,"Boise, Idaho",Setlist,,43.6166163,-116.200886
"Thursday, August 7, 2014",Matthew Knight Arena,"Eugene, Oregon",Setlist,,44.0505054,-123.0950506
"Saturday, August 9, 2014",Outside Lands Festival,"San Francisco, California",Setlist,,37.7790262,-122.419906
"Tuesday, August 12, 2014",Moda Center at Rose Quarter,"Portland, Oregon",Setlist,,45.5202471,-122.6741949
"Thursday, August 14, 2014",Pepsi Live At Rogers Arena,"Vancouver, British Columbia",Setlist,,49.2608724,-123.113952
"Friday, August 15, 2014",The Gorge,"George, Washington",Setlist,,47.0807166,-119.8570901
"Sunday, August 17, 2014",RexallÂ Center,"Edmonton, Alberta",Setlist,,53.535411,-113.507996
"Tuesday, August 19, 2014",Scotiabank Saddledome,"Calgary, Alberta",Setlist,,51.0460954,-114.065465
"Thursday, August 21, 2014",MTS Centre,"Winnipeg, Manitoba",Setlist,,49.8955367,-97.1384584
"Saturday, August 23, 2014",United Center,"Chicago, Illinois",Setlist,,41.8755616,-87.6244212
